Date:  23:24; lundi; février 21; 2022
Nom du modèle: FEA_Mirror3Ra_WithCone
Nom de l'étude: M3Ra_El00Pa00ct_Bonded(-Défaut-)
Type de tracé: Déplacement statique DispZ
Type de résultat: UZ 

        
Valeur	Unité
Somme	1 008.785828	mm
Moyenne	0.060222	mm
Max	0.349747	mm
Min	-0.150740	mm
Moyenne quadratique	0.134747	mm

Noeud	Valeur	X_mm	Y_mm	Z_mm	Composants
143127	0.023271	1 250.00000000	-347.87863159	86.23387909	Mirror3Ra_Left-1
143128	-0.081756	625.00000000	-1 739.37792969	149.94169617	Mirror3Ra_Left-1
143129	-0.014584	625.00000000	-1 043.62902832	62.60807800	Mirror3Ra_Left-1
143130	-0.054421	937.50000000	-1 391.50317383	127.41640472	Mirror3Ra_Left-1
143131	-0.025742	1 250.00000000	-1 043.62817383	127.33666229	Mirror3Ra_Left-1
143132	0.112713	625.00000000	1 043.62133789	77.05632019	Mirror3Ra_Left-1
143133	0.195832	625.00000000	1 739.37255859	166.23863220	Mirror3Ra_Left-1
143134	0.156164	937.50000000	1 391.49731445	141.45820618	Mirror3Ra_Left-1
143135	0.090299	937.50000000	695.74621582	73.08673096	Mirror3Ra_Left-1
143136	0.068672	625.00000000	347.87066650	28.90949821	Mirror3Ra_Left-1
143137	0.070018	1 250.00000000	347.87145996	90.32906342	Mirror3Ra_Left-1
143138	0.145896	1 875.00000000	1 043.62341309	237.93403625	Mirror3Ra_Left-1
143139	0.174214	1 562.50000000	1 391.49816895	221.17958069	Mirror3Ra_Left-1
143140	0.079060	1 875.00000000	347.87280273	193.00805664	Mirror3Ra_Left-1
143141	0.104190	1 562.50000000	695.74731445	154.24188232	Mirror3Ra_Left-1
143142	-0.085401	1 250.00000000	-1 739.37707520	216.87808228	Mirror3Ra_Left-1
143143	-0.074373	1 859.89929199	-1 695.24414063	318.17715454	Mirror3Ra_Left-1
143144	-0.003039	2 172.77832031	-744.69549561	277.01068115	Mirror3Ra_Left-1
143145	-0.012519	2 134.60083008	-870.58178711	277.63095093	Mirror3Ra_Left-1
143146	0.013342	2 187.50000000	-515.10186768	266.81710815	Mirror3Ra_Left-1
143147	0.038744	2 187.50000000	-167.22695923	255.69569397	Mirror3Ra_Left-1
143148	0.102697	2 187.50000000	532.94189453	267.37313843	Mirror3Ra_Left-1
143149	0.117719	2 187.50000000	682.32507324	275.58230591	Mirror3Ra_Left-1
143150	0.055167	2 187.50000000	35.68362045	254.46482849	Mirror3Ra_Left-1
143151	0.048268	2 187.50000000	-46.76334000	254.50399780	Mirror3Ra_Left-1
143152	0.143214	2 101.27758789	957.20904541	276.64990234	Mirror3Ra_Left-1
143153	0.124947	2 169.20434570	758.30804443	276.35791016	Mirror3Ra_Left-1
143154	0.131388	2 148.73925781	828.26593018	276.75750732	Mirror3Ra_Left-1
143155	0.294796	735.40533447	2 398.83666992	295.32482910	Mirror3Ra_Left-1
143156	0.289151	841.65612793	2 351.48852539	293.78564453	Mirror3Ra_Left-1
143157	0.250562	937.50000000	2 087.24853516	250.43588257	Mirror3Ra_Left-1
143158	0.294816	528.16961670	2 418.62426758	286.45169067	Mirror3Ra_Left-1
143159	0.295857	604.39703369	2 418.62426758	290.76074219	Mirror3Ra_Left-1
143160	0.208757	1 250.00000000	1 739.37329102	225.51518250	Mirror3Ra_Left-1
143161	-0.111559	937.50000000	-2 087.25170898	241.29898071	Mirror3Ra_Left-1
143162	0.045426	1 562.50000000	-0.00305392	129.48762512	Mirror3Ra_Left-1
143163	0.127391	1 250.00000000	1 043.62219238	137.28182983	Mirror3Ra_Left-1
143164	0.048981	937.50000000	-0.00413354	46.54095459	Mirror3Ra_Left-1
143165	0.106406	468.75000000	982.72125244	62.39970016	Mirror3Ra_Left-1
143166	-0.087363	468.75000000	-1 830.95825195	155.43484497	Mirror3Ra_Left-1
143167	0.203367	468.75000000	1 807.41601563	168.50112915	Mirror3Ra_Left-1
143168	0.219608	1 875.00000000	1 677.50048828	315.18777466	Mirror3Ra_Left-1
143169	-0.009628	156.25000000	-1 049.75939941	42.96477509	Mirror3Ra_Left-1
143170	0.122170	156.25000000	1 162.86486816	70.71988678	Mirror3Ra_Left-1
143171	0.032644	468.75000000	-445.89135742	16.88957596	Mirror3Ra_Left-1
143172	-0.118213	381.82434082	-2 252.93920898	233.30998230	Mirror3Ra_Left-1
143173	0.262485	1 518.93200684	2 074.85644531	319.98501587	Mirror3Ra_Left-1
143174	0.043167	156.25000000	-294.04010010	2.60748672	Mirror3Ra_Left-1
143175	-0.001749	468.75000000	-929.71423340	43.60569382	Mirror3Ra_Left-1
143176	-0.109183	1 504.59899902	-2 090.10815430	322.60534668	Mirror3Ra_Left-1
143177	0.075231	468.75000000	491.87905884	26.53636551	Mirror3Ra_Left-1
143178	0.005960	156.25000000	-875.82208252	28.82916260	Mirror3Ra_Left-1
143179	0.064244	156.25000000	231.47271729	5.72387934	Mirror3Ra_Left-1
143180	0.232676	1 406.25000000	1 882.37438965	269.62710571	Mirror3Ra_Left-1
143181	0.130835	156.25000000	1 248.49426270	80.40454102	Mirror3Ra_Left-1
143182	-0.117151	34.66447449	-2 252.93945313	224.83566284	Mirror3Ra_Left-1
143183	-0.140191	69.32894897	-2 599.14404297	307.56430054	Mirror3Ra_Left-1
143184	0.034422	156.25000000	-467.97756958	7.11322260	Mirror3Ra_Left-1
143185	-0.030166	156.25000000	-1 260.17810059	64.07089996	Mirror3Ra_Left-1
143186	-0.069031	156.25000000	-1 666.24438477	117.58459473	Mirror3Ra_Left-1
143187	0.059103	156.25000000	99.90879059	2.61961818	Mirror3Ra_Left-1
143188	-0.023283	156.25000000	-1 190.03857422	56.54247665	Mirror3Ra_Left-1
143189	0.101331	156.25000000	920.02954102	46.61678314	Mirror3Ra_Left-1
143190	0.069684	156.25000000	367.00500488	10.51960945	Mirror3Ra_Left-1
143191	0.020923	156.25000000	-683.82720947	16.63465118	Mirror3Ra_Left-1
143192	0.203193	156.25000000	1 819.95434570	160.70054626	Mirror3Ra_Left-1
143193	-0.066663	1 689.79956055	-1 566.86767578	263.36682129	Mirror3Ra_Left-1
143194	0.162996	1 988.13879395	1 174.35400391	273.56256104	Mirror3Ra_Left-1
143195	0.047642	156.25000000	-196.02833557	1.29570639	Mirror3Ra_Left-1
